"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC3","Liguria","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",17.152068,,
"ITC3","Liguria","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",16.262714,,
"ITC3","Liguria","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",16.478001,,
"ITC3","Liguria","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",14.542493,,
"ITC3","Liguria","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",17.541224,,
"ITC3","Liguria","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",21.739831,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",26.910715,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",27.735763,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",24.230408,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",25.713339,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",28.617628,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",18.953443,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",20.25602,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",17.896596,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",17.163673,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",20.38632,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",23.079914,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",24.135676,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",21.178471,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",21.595993,,
"ITC4","Lombardia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",24.656298,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",33.398048,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",36.980626,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",36.513052,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",37.012106,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",37.962886,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",28.375769,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",28.636519,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",24.981622,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",25.938896,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",30.550969,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",30.959286,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",32.93218,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",30.922162,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",31.654738,,
"ITDA","Trentino Alto Adige / Südtirol","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",34.389951,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",37.108778,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",42.746903,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",43.349624,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",41.450692,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",41.504497,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",33.629001,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",33.480609,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",28.00084,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",30.773521,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",36.931061,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",35.415636,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",38.246014,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",35.899135,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",36.275753,,
"ITD1","Provincia Autonoma Bolzano / Bozen","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",39.297379,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",29.495825,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",30.917454,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",29.36812,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",32.381408,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",34.269816,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",22.800625,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",23.521789,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",21.810563,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",20.855478,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",23.862216,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",26.251891,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",27.331802,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",25.708844,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",26.817402,,
"ITD2","Provincia Autonoma Trento","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",29.256939,,
"ITD3","Veneto","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",26.419053,,
"ITD3","Veneto","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",28.559359,,
"ITD3","Veneto","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",27.491822,,
"ITD3","Veneto","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",27.34572,,
"ITD3","Veneto","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",30.681605,,
"ITD3","Veneto","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",19.328439,,
"ITD3","Veneto","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",22.204223,,
"ITD3","Veneto","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",16.488318,,
"ITD3","Veneto","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",16.751256,,
"ITD3","Veneto","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",22.566273,,
"ITD3","Veneto","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",22.986773,,
"ITD3","Veneto","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",25.488193,,
"ITD3","Veneto","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",22.171788,,
"ITD3","Veneto","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",22.227199,,
"ITD3","Veneto","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",26.765344,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",19.532486,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",24.055589,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",25.274826,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",28.062027,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",26.245361,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",19.520225,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",19.096477,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",18.339753,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",18.623632,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",18.89691,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",19.525621,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",21.673305,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",21.933627,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",23.519265,,
"ITD4","Friuli-Venezia Giulia","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",22.710731,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",27.849,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",27.326383,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",26.998139,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",23.96162,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",28.215645,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",19.019578,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",21.417435,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",15.765309,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",16.585824,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",18.872561,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",23.608617,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",24.4868,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",21.594474,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",20.414778,,
"ITD5","Emilia-Romagna","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",23.725393,,
"ITE1","Toscana","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",22.456958,,
"ITE1","Toscana","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",22.733476,,
"ITE1","Toscana","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",21.494234,,
"ITE1","Toscana","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",23.342685,,
"ITE1","Toscana","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",29.104894,,
"ITE1","Toscana","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",16.787672,,
"ITE1","Toscana","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",17.48295,,
"ITE1","Toscana","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",13.866541,,
"ITE1","Toscana","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",15.370894,,
"ITE1","Toscana","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",21.041739,,
"ITE1","Toscana","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",19.731606,,
"ITE1","Toscana","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",20.204505,,
"ITE1","Toscana","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",17.818336,,
"ITE1","Toscana","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",19.503036,,
"ITE1","Toscana","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",25.222548,,
"ITE2","Umbria","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",22.450968,,
"ITE2","Umbria","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",21.805036,,
"ITE2","Umbria","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",19.420932,,
"ITE2","Umbria","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",17.587629,,
"ITE2","Umbria","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",24.180157,,
"ITE2","Umbria","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",12.279566,,
"ITE2","Umbria","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",13.789008,,
"ITE2","Umbria","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",12.158096,,
"ITE2","Umbria","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",14.382376,,
"ITE2","Umbria","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",17.204499,,
"ITE2","Umbria","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",17.559103,,
"ITE2","Umbria","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",17.956295,,
